9:15:16,869155606183243777,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/atRKK2sB59,95
9:15:17,4783362989,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/xXSwFrpKBF,96
9:15:20,1249415724382040065,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/aLcIFMzYzV,97
9:15:22,326932480,Números da Covid-19 apresentam melhoras em Toledo / https://t.co/dZZQAWNWOx,98
9:15:22,1249428748534820864,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/8feJRXgbqK,99
9:15:24,1255958341362343938,Borrazópolis confirma mais dois casos de coronavírus https://t.co/VPs5Jh2L2J,100
9:15:28,79744881,Hospital em Madri submerso por segunda onda de coronavírus   https://t.co/y0BnOPpo2Q https://t.co/Y63R1uvWEG,101
9:15:31,1241759596760489984,"“Por uma América Latina Livre, Independente e soberana!!!” @evoespueblo  @LuchoXBolivia   #LulaTemPauloOpuszka… https://t.co/zJ2WJ6PCEL",102
9:15:32,159116787,"RT @conexaopolitica: Medicamento pode reduzir em 95% carga viral da covid-19, diz Marcos Pontes https://t.co/sfCKmMsG3h",103
9:15:33,1241759596760489984,"RT @cristinaarfrei1: O nome da doença é CoronaVIRUS, bolsonaro lançou ontem com o astronauta um remédio milagroso  contra o VÍRUS, que é pr…",104
9:15:33,219356739,"RT @gazeta_brasil: Vermífugo Annita “é capaz de reduzir a carga viral da Covid-19”, anuncia Marcos Pontes  https://t.co/mhpH4Vidy5",105
9:15:34,1261400200846938114,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/ZR6NUU4KTF,106
9:15:44,271979051,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/O7A0RvB6UF,107
9:15:46,513739795,RT @erikakokay: Bolsonaro joga com a vida do povo brasileiro. A utilização de um gráfico falso para “comprovar” a eficácia de um remédio co…,108
9:15:48,48751718,#Agenda As atividades remotas da Revisão Participativa do #PPAG continuam! Agora pela manhã tem debate sobre o tema… https://t.co/yaI9uuG5QA,109
9:15:55,1067412366890057729,RT @dimacgarcia: Vocês não tem a noção da importância desse resultado do novo medicamento contra o covid.  Isso salvará o Brasil de um novo…,110
